Ticker,Prior,Posterior,Views
IBM,11.846722817656854,-1.0166156423748713,-5.246127021992361
CRM,19.530986767364183,13.241918566513936,19.62358435720607
AAPL,20.12582339210477,13.330674158646556,19.03253132862023
MSFT,19.616989202148538,5.631578758518573,2.367046452416373
DELL,16.017886842286565,11.796922773828086,13.766624187171193
ORCL,14.31216878314261,11.150690547621366,17.58962637738873
NVDA,27.93737851414353,21.95763392380862,44.366956177510446
AMD,25.545432885761667,8.33781915518353,7.296134095987301
INTU,20.02634320434668,14.729174061520983,36.42822492133749
INFY,13.31629322522411,11.725332614402147,17.601102420612673
PDD,20.20928331177569,19.810342779038095,22.083557392460936
ABEV,12.069046869465083,14.787278784290647,19.520607141135862
BBD,13.981587165950804,14.192078052231635,33.00037029071428
CICHY,10.21555544119852,10.483278578270285,21.875323262923075
FSLR,15.846932657786382,17.021699273724806,19.153252284514817
BE,23.53966937561941,27.385143561787057,28.116347213279692
PCG,12.95038593878465,16.065514299807766,16.744527822930817
